Catalogador,id,Categoría,name,type,desc,atk,def,level,race,attribute,archetype,set_tag,setcode,ban_tcg,ban_ocg,ban_goat,image_url,image_url_small,booster_oficial,LON,LOD,PGD,MFC,DCR
Eze,31036355,UR,Creature Swap,Spell Card,Each player chooses 1 monster they control and switches control of those monsters with each other. Those monsters cannot change their battle positions for the rest of this turn.,,,,Normal,,,"SDZW-EN022,SDMA-EN022,RP02-EN063,BP01-EN044,5DS2-EN027,DP04-EN018,SD1-EN018,SD2-EN020,BP03-EN144,SDGR-EN027,BP01-EN044,TU06-EN015,SD4-EN021,SDDL-EN027,SDOK-EN029,BP03-EN144,LCYW-EN269,LOD-081,DB2-EN190,HL03-EN002,LOD-EN081,","Zombie World Structure Deck,Structure Deck: Marik (TCG),Retro Pack 2,Battle Pack: Epic Dawn,Starter Deck: Yu-Gi-Oh! 5D's 2009,Duelist Pack: Zane Truesdale,Structure Deck: Dragon's Roar,Structure Deck: Zombie Madness,Battle Pack 3: Monster League,Geargia Rampage Structure Deck,Battle Pack: Epic Dawn,Turbo Pack: Booster Six,Structure Deck: Fury from the Deep,Dragunity Legion Structure Deck,Onslaught of the Fire Kings Structure Deck,Battle Pack 3: Monster League,Legendary Collection 3: Yugi's World Mega Pack,Legacy of Darkness,Dark Beginning 2,Hobby League 3 participation card B,Legacy of Darkness,",,,Semi-Limited,https://storage.googleapis.com/ygoprodeck.com/pics/31036355.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/31036355.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Eze,28358902,C,Crimson Sentry,Effect Monster,Tribute this face-up card to return 1 of your monsters destroyed as a result of battle during this turn to the bottom of your Deck.,1500,1200,4,Warrior,FIRE,,"LON-033,LON-E033,LON-EN033,","Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/28358902.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/28358902.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Eze,85802526,R,Cure Mermaid,Effect Monster,"As long as this card remains face-up on your side of the field, increase your Life Points by 800 points during each of your Standby Phases.",1500,800,4,Fish,WATER,,"DB1-EN237,LON-041,LON-E041,LON-EN041,","Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/85802526.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/85802526.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Nico,41398771,SR,Curse of Aging,Trap Card,Discard 1 card from your hand. Decrease the ATK and DEF of all monsters on your opponent's side of the field by 500 points until the end of the turn this card is activated.,,,,Normal,,,"DR1-EN042,PGD-094,","Dark Revelation Volume 1,Pharaonic Guardian,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/41398771.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/41398771.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,2926176,R,Curse of Royal,Trap Card,Negate the activation and the effect of a Spell or Trap Card that includes the effect of destroying 1 Spell or Trap Card and destroy it.,,,,Counter,,,"TP5-EN018,DB2-EN241,PGD-044,","Tournament Pack 5,Dark Beginning 2,Pharaonic Guardian,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/2926176.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/2926176.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Eze,94377247,R,Curse of the Masked Beast,Spell Card,"This card is used to Ritual Summon ""The Masked Beast"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,,,Ritual,,Mask,"DB1-EN219,DPBC-EN032,RP02-EN030,LON-016,LON-E016,LON-EN016,","Dark Beginning 1,Duelist Pack: Battle City,Retro Pack 2,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/94377247.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/94377247.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Eze,39978267,R,Cyber Raider,Effect Monster,When this card is Summoned: Activate 1 of these effects.\n● Target 1 Equip Card equipped to a monster on the field; destroy that target.\n● Target 1 Equip Card equipped to a monster on the field; equip that target to this card.,1400,1000,4,Machine,DARK,,"BPW2-EN008,DR1-EN173,DCR-011,WGRT-EN008,DCR-EN011,","War of the Giants: Round 2,Dark Revelation Volume 1,Dark Crisis,War of the Giants Reinforcements,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/39978267.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/39978267.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,5494820,C,Cyclon Laser,Spell Card,"You can only equip this card to ""Gradius"". Increase the ATK of ""Gradius"" by 300 points. When the equipped ""Gradius"" attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.",,,,Equip,,,"DB2-EN028,LON-095,LON-E095,LON-EN095,","Dark Beginning 2,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/5494820.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/5494820.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Nico,2833249,C,D. Tribe,Trap Card,All monsters on your side of the field are treated as Dragon-Type until the End Phase of this turn.,,,,Normal,,,"SKE-050,PGD-102,DR1-EN050,","Starter Deck: Kaiba Evolution,Pharaonic Guardian,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/2833249.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/2833249.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,48148828,C,D.D. Crazy Beast,Effect Monster,A monster that this card destroys as a result of battle is removed from play.,1400,1400,3,Beast,EARTH,,"DR1-EN074,MFC-019,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/48148828.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48148828.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,48148828,C,D.D. Crazy Beast,Effect Monster,A monster that this card destroys as a result of battle is removed from play.,1400,1400,3,Beast,EARTH,,"DR1-EN074,MFC-019,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/48148828.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48148828.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,86498013,SR,D.D. Trainer,Normal Monster,"A poor goblin that was sucked into a different dimension. However, he's doing his best with his new destiny.",100,2000,1,Fiend,DARK,,"DR1-EN217,DCR-055,DCR-EN055,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/86498013.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/86498013.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,7572887,SR,D.D. Warrior Lady,Effect Monster,"After damage calculation, when this card battles an opponent's monster: You can banish that monster, also banish this card.",1500,1600,4,Warrior,LIGHT,,"LCYW-EN215,YS14-ENA04,DUSA-EN051,BP02-EN021,SD5-EN011,SDWS-EN009,SDDE-EN010,BP02-EN021,DCR-027,DR1-EN189,GLD1-EN015,HL06-EN003,DCR-EN027,","Legendary Collection 3: Yugi's World Mega Pack,Space-Time Showdown Power-Up Pack,Duelist Saga,Battle Pack 2: War of the Giants,Structure Deck: Warrior's Triumph,Warriors' Strike Structure Deck,The Dark Emperor Structure Deck,Battle Pack 2: War of the Giants,Dark Crisis,Dark Revelation Volume 1,Gold Series,Hobby League 6 participation card C,Dark Crisis,",,,Limited,https://storage.googleapis.com/ygoprodeck.com/pics/7572887.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/7572887.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,90925163,R,Dancing Fairy,Effect Monster,"As long as this card remains in face-up Defense Position on your side of the field, increase your Life Points by 1000 points during each of your Standby Phases.",1700,1000,4,Fairy,WIND,,"LON-038,DB1-EN236,LON-EN038,LON-E038,","Labyrinth of Nightmare,Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/90925163.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/90925163.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Eze,80071763,FUSION,Dark Balter the Terrible,Fusion Monster,"""Possessed Dark Soul"" + ""Frontier Wiseman""\nA Fusion Summon of this monster can only be conducted with the above Fusion Material Monsters. When a Normal Spell Card is activated, negate the effect by paying 1000 Life Points. The effect of an Effect Monster that this monster destroys as a result of battle is negated.",2000,1200,5,Fiend,DARK,,"DB2-EN125,LOD-002,TP6-EN010,HL03-EN007,LOD-EN002,","Dark Beginning 2,Legacy of Darkness,Tournament Pack 6,Hobby League 3 participation card G,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/80071763.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/80071763.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Nico,11321183,SR,Dark Blade,Normal Monster,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",1800,1500,4,Warrior,DARK,Dark World,"5DS1-EN004,SYE-015,DR1-EN062,YSDS-EN003,YSYR-EN007,YS11-EN003,YS14-EN005,DEM1-EN002,YSD-EN004,YSDJ-EN003,MFC-007,SD5-EN003,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Yugi Evolution,Dark Revelation Volume 1,Starter Deck: Syrus Truesdale,Starter Deck: Yugi Reloaded,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Demo Pack,Starter Deck 2006,Starter Deck: Jaden Yuki,Magician's Force,Structure Deck: Warrior's Triumph,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/11321183.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/11321183.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,11321183,SR,Dark Blade,Normal Monster,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",1800,1500,4,Warrior,DARK,Dark World,"5DS1-EN004,SYE-015,DR1-EN062,YSDS-EN003,YSYR-EN007,YS11-EN003,YS14-EN005,DEM1-EN002,YSD-EN004,YSDJ-EN003,MFC-007,SD5-EN003,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Yugi Evolution,Dark Revelation Volume 1,Starter Deck: Syrus Truesdale,Starter Deck: Yugi Reloaded,Starter Deck: Dawn of the Xyz,Super Starter: Space-Time Showdown,Demo Pack,Starter Deck 2006,Starter Deck: Jaden Yuki,Magician's Force,Structure Deck: Warrior's Triumph,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/11321183.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/11321183.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,8634636,SR,Dark Cat with White Tail,Flip Effect Monster,FLIP: Return 2 Monster Cards on your opponent's side of the field and 1 Monster Card on your side of the field to their owners' hands.,800,500,2,Beast,EARTH,,"DR1-EN138,MFC-083,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/8634636.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/8634636.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,8634636,UR,Dark Cat with White Tail,Flip Effect Monster,FLIP: Return 2 Monster Cards on your opponent's side of the field and 1 Monster Card on your side of the field to their owners' hands.,800,500,2,Beast,EARTH,,"DR1-EN138,MFC-083,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/8634636.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/8634636.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,1804528,C,Dark Coffin,Trap Card,"When this face-down card is destroyed and sent to the Graveyard, your opponent selects and executes 1 of the following effects:\n● Discard 1 random card in their hand.\n● Select 1 monster on their side of the field and destroy it.",,,,Normal,,,"DB2-EN244,PGD-047,SD8-EN032,","Dark Beginning 2,Pharaonic Guardian,Structure Deck: Lord of the Storm,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/1804528.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/1804528.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,70231910,UR,Dark Core,Spell Card,"Discard 1 card, then target 1 face-up monster on the field; banish that target.",,,,Normal,,,"SDDE-EN023,MFC-035,DR1-EN090,BPW2-EN070,WGRT-EN070,","The Dark Emperor Structure Deck,Magician's Force,Dark Revelation Volume 1,War of the Giants: Round 2,War of the Giants Reinforcements,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/70231910.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/70231910.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,70231910,UR,Dark Core,Spell Card,"Discard 1 card, then target 1 face-up monster on the field; banish that target.",,,,Normal,,,"SDDE-EN023,MFC-035,DR1-EN090,BPW2-EN070,WGRT-EN070,","The Dark Emperor Structure Deck,Magician's Force,Dark Revelation Volume 1,War of the Giants: Round 2,War of the Giants Reinforcements,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/70231910.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/70231910.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,78053598,R,Dark Designator,Spell Card,"Declare 1 Monster Card name. If the declared card is in your opponent's Deck, add 1 of that card to your opponent's hand.",,,,Normal,,,"DR1-EN027,TP5-EN020,PGD-079,","Dark Revelation Volume 1,Tournament Pack 5,Pharaonic Guardian,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/78053598.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/78053598.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,89111398,UR,Dark Dust Spirit,Spirit Monster,Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. When this card is Normal Summoned or flipped face-up: Destroy all other face-up monsters on the field.,2200,1800,6,Zombie,EARTH,,"DB2-EN217,BP01-EN005,PGD-017,SD2-EN004,BP01-EN005,LCJW-EN188,HL07-EN003,","Dark Beginning 2,Battle Pack: Epic Dawn,Pharaonic Guardian,Structure Deck: Zombie Madness,Battle Pack: Epic Dawn,Legendary Collection 4: Joey's World Mega Pack,Hobby League 7 participation card C,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/89111398.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/89111398.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Eze,13722870,FUSION,Dark Flare Knight,Fusion Monster,"""Dark Magician"" + ""Flame Swordsman""\nYou take no Battle Damage from battles involving this card. When this card is destroyed by battle and sent to the Graveyard: Special Summon 1 ""Mirage Knight"" from your hand or Deck.",2200,800,6,Warrior,DARK,Dark Magician,"LCYW-EN049,DCR-017,DR1-EN179,DCR-EN017,","Legendary Collection 3: Yugi's World Mega Pack,Dark Crisis,Dark Revelation Volume 1,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/13722870.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/13722870.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Nico,90980792,SR,Dark Jeroid,Effect Monster,When this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.,1200,1500,4,Fiend,DARK,Roid,"LCJW-EN114,RP02-EN072,SDMA-EN005,PGD-056,DR1-EN004,","Legendary Collection 4: Joey's World Mega Pack,Retro Pack 2,Structure Deck: Marik (TCG),Pharaonic Guardian,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/90980792.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/90980792.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,46986414,C,Dark Magician,Normal Monster,,2500,2100,7,Spellcaster,DARK,,,,,,,,,Extra,FALSE,FALSE,FALSE,FALSE,FALSE
Nico,38033121,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033121.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033121.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033122,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033122.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033122.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033123,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033123.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033123.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033124,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033124.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033124.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033125,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033125.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033125.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033126,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033126.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033126.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033121,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033121.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033121.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,38033122,R,Dark Magician Girl,Effect Monster,"This card gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",2000,1700,6,Spellcaster,DARK,Dark Magician,"SS01-ENA04,YSYR-EN011,LDK2-ENY11,SDMY-EN011,YGLD-ENA04,LEDD-ENA02,YGLD-ENC10,MVP1-EN056,MVP1-ENG56,RDS-ENSE2,YGLD-ENB03,DPBC-EN009,DPYG-EN008,CT2-EN004,PGLD-EN033,DL18-EN003,DT06-EN064,LCYW-EN022,MFC-000,","Speed Duel Starter Decks: Destiny Masters,Starter Deck: Yugi Reloaded,Legendary Decks II,Structure Deck: Yugi Muto,Yugi's Legendary Decks,Legendary Dragon Decks,Yugi's Legendary Decks,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,Rise of Destiny: Special Edition,Yugi's Legendary Decks,Duelist Pack: Battle City,Duelist Pack: Yugi,Collectible Tins 2005,Premium Gold,Duelist League 18 participation cards,Duel Terminal 6b,Legendary Collection 3: Yugi's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/38033122.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/38033122.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
